timestamp,AAPL,MSFT,NVDA
2019-06-28 11:30:00-04:00,0.0,0.0,0.0
2019-06-28 11:35:00-04:00,0.0,0.0,0.0
2019-06-28 11:40:00-04:00,0.0,0.0,0.0
2019-06-28 11:45:00-04:00,0.0,0.0,0.0
2019-06-28 11:50:00-04:00,-1.0,1.0,0.0
2019-06-28 11:55:00-04:00,-1.0,0.0,0.0
2019-06-28 12:00:00-04:00,-1.0,0.0,0.0
2019-06-28 12:05:00-04:00,0.0,-1.0,0.0
2019-06-28 12:10:00-04:00,0.0,-1.0,0.0
2019-06-28 12:15:00-04:00,0.0,-1.0,0.0
2019-06-28 12:20:00-04:00,0.0,0.0,0.0
2019-06-28 12:25:00-04:00,0.0,0.0,0.0
2019-06-28 12:30:00-04:00,0.0,0.0,0.0
2019-06-28 12:35:00-04:00,0.0,0.0,-1.0
2019-06-28 12:40:00-04:00,0.0,0.0,0.0
2019-06-28 12:45:00-04:00,0.0,0.0,0.0
2019-06-28 12:50:00-04:00,0.0,0.0,0.0
2019-06-28 12:55:00-04:00,0.0,0.0,0.0
2019-06-28 13:00:00-04:00,0.0,0.0,0.0
2019-06-28 13:05:00-04:00,0.0,0.0,0.0
2019-06-28 13:10:00-04:00,0.0,0.0,0.0
2019-06-28 13:15:00-04:00,0.0,0.0,0.0
2019-06-28 13:20:00-04:00,0.0,0.0,0.0
2019-06-28 13:25:00-04:00,0.0,0.0,0.0
2019-06-28 13:30:00-04:00,0.0,0.0,0.0
2019-06-28 13:35:00-04:00,0.0,0.0,0.0
2019-06-28 13:40:00-04:00,0.0,0.0,0.0
2019-06-28 13:45:00-04:00,0.0,0.0,0.0
2019-06-28 13:50:00-04:00,0.0,0.0,0.0
2019-06-28 13:55:00-04:00,0.0,0.0,0.0
2019-06-28 14:00:00-04:00,0.0,0.0,0.0
2019-06-28 14:05:00-04:00,0.0,0.0,0.0
2019-06-28 14:10:00-04:00,0.0,0.0,0.0
2019-06-28 14:15:00-04:00,0.0,0.0,0.0
2019-06-28 14:20:00-04:00,0.0,0.0,0.0
2019-06-28 14:25:00-04:00,0.0,0.0,0.0
2019-06-28 14:30:00-04:00,0.0,0.0,0.0
2019-06-28 14:35:00-04:00,1.0,0.0,0.0
2019-06-28 14:40:00-04:00,1.0,0.0,0.0
2019-06-28 14:45:00-04:00,0.0,0.0,0.0
2019-06-28 14:50:00-04:00,0.0,0.0,0.0
2019-06-28 14:55:00-04:00,0.0,0.0,0.0
2019-06-28 15:00:00-04:00,0.0,0.0,0.0
2019-06-28 15:05:00-04:00,0.0,0.0,0.0
2019-06-28 15:10:00-04:00,0.0,0.0,0.0
2019-06-28 15:15:00-04:00,0.0,0.0,0.0
2019-06-28 15:20:00-04:00,0.0,0.0,0.0
2019-06-28 15:25:00-04:00,0.0,0.0,0.0
2019-06-28 15:30:00-04:00,0.0,0.0,0.0
